####### List of user name aliases #######
#git_repository_name;user_name;user_alias_name
v8/v8;Jacob.Bramley@arm.com;jacob.bramley@arm.com
torvalds/linux;Kashyap, Desai;Kashyap Desai
torvalds/linux;Gautham R Shenoy;Gautham R. Shenoy
torvalds/linux;Stephane Eranian;stephane eranian
torvalds/linux;suzuki;Suzuki
torvalds/linux;David Härdeman;David Hardeman
torvalds/linux;Jean-Francois Dagenais;Jean-François Dagenais
torvalds/linux;Timo Teras;Timo Teräs
torvalds/linux;Timo Teras;Timo Ter�s
torvalds/linux;baker.zhang;Baker Zhang
torvalds/linux;bgardner@wabtec.com;BGardner@Wabtec.com
torvalds/linux;Jassi Brar;jassi brar
torvalds/linux;Pavel Emelyanov;Pavel Emelianov
torvalds/linux;Aubrey Li;Aubrey.Li
torvalds/linux;jon ernst;Jon Ernst
torvalds/linux;Yusuke Goda;Yusuke.Goda
torvalds/linux;David Decotigny;david decotigny
torvalds/linux;David Decotigny;david decotigny
torvalds/linux;Figo.zhang;figo.zhang
torvalds/linux;Soren Brinkmann;Sören Brinkmann
torvalds/linux;Yan, Zheng;Yan Zheng
torvalds/linux;CHENG Renquan;Cheng Renquan
torvalds/linux;liubo;Liu Bo
torvalds/linux;liubo;Liu Bo
torvalds/linux;Xiaolong Chen;Xiaolong CHEN
